"Project name","AnswersAi"
"Date range","08/29/2024 12:00 AM - 08/31/2024 11:59 PM"


"Channel","PaidSearch"

"Metric","Users overview"
"","Unique users","13507"
"","Sessions with new users","14042"
"","Sessions with returning users","948"

"Metric","All users"
"","User id","No. of sessions","Country","Device"
"","ggzoej","13","India","Mobile"
"","15gp7zx","12","Turkey","Mobile"
"","1ujoc2s","9","Brazil","PC"
"","f7976o","9","Turkey","Mobile"
"","13larit","8","Australia","Mobile"
"","1v8i82c","7","Nigeria","PC"
"","898dlc","7","Bangladesh","PC"
"","s4z4r8","7","Austria","Mobile"
"","18ckups","7","Malaysia","Mobile"
"","1y4q80r","7","Vietnam","Mobile"
"","898dlc","7","Bangladesh","PC"
"","15ruw7u","7","Philippines","Mobile"
"","59hlsg","6","United Arab Emirates","Mobile"
"","zyi2cu","6","India","PC"
"","1avvcv6","6","Pakistan","PC"

"Metric","Insights","No. of sessions","% of sessions"
"","Rage clicks","204","1.36%"
"","Dead click","3153","21.03%"
"","Excessive scrolling","0","0%"
"","Quick back click","516","3.44%"

"Metric","Browsers","No. of sessions","% of sessions"
"","ChromeMobile","9093","60.66%"
"","Chrome","2489","16.60%"
"","MobileSafari","2185","14.58%"
"","Unknown","522","3.48%"
"","SamsungInternet","218","1.45%"
"","Opera","115","0.77%"
"","Safari","115","0.77%"
"","Edge","103","0.69%"
"","Firefox","90","0.60%"
"","MiuiBrowser","31","0.21%"
"","FirefoxMobile","17","0.11%"
"","UCBrowser","5","0.03%"
"","EdgeMobile","4","0.03%"
"","AmazonSilk","3","0.02%"

"Metric","Devices","No. of sessions","% of sessions"
"","Mobile","11810","78.78%"
"","PC","2732","18.22%"
"","Tablet","422","2.82%"
"","Other","27","0.18%"

"Metric","Popular pages","No. of sessions"
"","https://answersai.com/","14966"
"","https://answersai.com/question-bank","30"
"","https://answersai.com/faq","18"
"","https://answersai.com/institutions","11"

"Metric","Countries","No. of sessions","% of sessions"
"","India","6397","42.72%"
"","Philippines","1542","10.30%"
"","United States","1285","8.58%"
"","Indonesia","754","5.03%"
"","Pakistan","595","3.97%"
"","Bangladesh","333","2.22%"
"","Nepal","217","1.45%"
"","Canada","187","1.25%"
"","Malaysia","179","1.20%"
"","Brazil","177","1.18%"
"","Sri Lanka","163","1.09%"
"","Nigeria","156","1.04%"
"","South Africa","124","0.83%"
