"ip_address","count"
"50.91.209.173","2"
"47.156.161.69","5"
"179.9.145.134","8"
"156.34.48.41","2"
"107.130.132.75","2"
"64.5.65.164","2"
"153.33.221.30","6"
"99.228.217.213","8"
"1.145.10.180","2"
"73.180.181.237","8"
"68.195.92.89","8"
"186.32.222.133","4"
"120.147.138.232","2"
"4.17.85.116","9"
"152.37.91.176","2"
"170.203.211.232","2"
"92.89.81.1","3"
"158.62.187.114","4"
"173.218.37.1","8"
"172.56.2.134","2"
"69.254.9.241","2"
"72.80.233.36","2"
"174.226.135.217","8"
"58.107.245.243","2"
"174.87.33.29","7"
"99.105.249.102","10"
"108.81.94.85","2"
"205.211.2.2","2"
"174.170.134.109","2"
"181.209.107.108","2"
"76.173.250.232","3"
"141.30.203.105","4"
"72.189.214.251","2"
"122.150.232.43","2"
"216.249.145.200","2"
"58.107.49.229","2"
"104.230.136.20","4"
"204.236.122.205","6"
"104.230.148.156","6"
"72.231.253.188","6"
"102.113.216.56","8"
"105.233.134.6","2"
"185.198.124.38","2"
"76.35.85.139","5"
"96.41.201.12","6"
"216.245.116.39","8"
"165.225.217.38","8"
"159.196.13.222","2"
"72.199.53.30","2"
"174.89.25.207","2"
"121.208.192.102","2"
"184.105.46.133","6"
"68.44.157.155","4"
"98.161.166.151","8"
"76.118.109.253","7"
"152.22.32.26","3"
"153.33.137.30","4"
"201.171.48.125","8"
"76.32.19.19","2"
"1.120.201.120","2"
"185.134.144.130","6"
"174.91.108.217","6"
"86.96.60.51","2"
"12.42.17.116","2"
"108.215.27.149","9"
"195.140.176.33","4"
"76.184.1.236","6"
"107.221.189.195","2"
"190.219.255.177","6"
"207.81.75.160","2"
"120.148.10.92","4"
"5.47.148.60","4"
"73.115.205.209","8"
"101.173.37.233","10"
"174.102.145.177","8"
"115.70.254.177","6"
"98.252.100.210","2"
"68.190.26.162","2"
"174.119.58.101","2"
"96.19.214.242","7"
"86.187.224.181","5"
"92.97.135.197","2"
"77.133.250.134","3"
"31.94.4.83","9"
"104.28.85.161","10"
"189.203.100.252","8"
"213.232.100.88","2"
"129.108.202.171","6"
"98.98.195.60","2"
"176.29.166.37","6"
"1.121.183.53","2"
"5.163.95.156","2"
"99.105.232.75","2"
"73.196.12.86","8"
"65.24.241.70","6"
"99.247.120.13","4"
"165.91.13.240","2"
"68.63.210.42","18"
"71.206.123.184","8"
"177.22.183.180","2"
