ip_address,count,coordinates,latitude,longitude,nearest_university,distance_to_nearest,distance_to_other
50.91.209.173,2,"(35.76884078979492, -119.2470474243164)",35.76884078979492,-119.2470474243164,OTHER,213.0716685749764,202.73192524726966
47.156.161.69,5,"(33.830299377441406, -118.37950134277344)",33.830299377441406,-118.37950134277344,OTHER,23.054713835778376,27.227616054871355
179.9.145.134,8,"(-53.147098541259766, -70.91560363769531)",-53.147098541259766,-70.91560363769531,OTHER,10716.504977276538,10727.563949678844
156.34.48.41,2,"(44.628299713134766, -63.59280014038086)",44.628299713134766,-63.59280014038086,OTHER,4756.838404914984,4766.2526081694305
107.130.132.75,2,"(35.497100830078125, -97.73300170898438)",35.497100830078125,-97.73300170898438,OTHER,1881.252268047477,1894.227127995813
64.5.65.164,2,"(42.648399353027344, -95.19640350341797)",42.648399353027344,-95.19640350341797,OTHER,2220.8593430231676,2230.050516385486
153.33.221.30,6,"(33.78379821777344, -84.44550323486328)",33.78379821777344,-84.44550323486328,OTHER,3108.7476475015974,3121.9405831503495
99.228.217.213,8,"(43.81370162963867, -79.4531021118164)",43.81370162963867,-79.4531021118164,OTHER,3495.197312397176,3504.9073115240103
1.145.10.180,2,"(-33.86785125732422, 151.2073211669922)",-33.86785125732422,151.2073211669922,OTHER,12068.640967269144,12058.753699172397
73.180.181.237,8,"(38.37919998168945, -75.63069915771484)",38.37919998168945,-75.63069915771484,OTHER,3823.853700107992,3835.425704552274
68.195.92.89,8,"(41.0630989074707, -74.1436996459961)",41.0630989074707,-74.1436996459961,OTHER,3926.7667617964603,3937.470533968876
186.32.222.133,4,"(10.003800392150879, -84.08769989013672)",10.003800392150879,-84.08769989013672,OTHER,4385.522829296175,4400.506085713313
120.147.138.232,2,"(-37.81589889526367, 144.96690368652344)",-37.81589889526367,144.96690368652344,OTHER,12768.91961786574,12759.296562038382
4.17.85.116,9,"(39.1525993347168, -84.38690185546875)",39.1525993347168,-84.38690185546875,OTHER,3061.486450927542,3072.9248005392365
152.37.91.176,2,"(51.50640106201172, -0.019999999552965164)",51.50640106201172,-0.019999999552965164,OTHER,8766.132906022682,8769.679438681143
170.203.211.232,2,"(51.035030364990234, -114.05200958251953)",51.035030364990234,-114.05200958251953,OTHER,1922.441091808552,1919.4796470675876
92.89.81.1,3,"(45.74800109863281, 4.849999904632568)",45.74800109863281,4.849999904632568,OTHER,9467.756184846789,9471.796179291236
158.62.187.114,4,"(35.23379898071289, -97.40950012207031)",35.23379898071289,-97.40950012207031,OTHER,1911.331525624996,1924.4240748913408
173.218.37.1,8,"(36.66939926147461, -93.24490356445312)",36.66939926147461,-93.24490356445312,OTHER,2283.572480944847,2296.004228500482
172.56.2.134,2,"(39.29037857055664, -76.61219024658203)",39.29037857055664,-76.61219024658203,OTHER,3730.024700442701,3741.3367479572944
69.254.9.241,2,"(33.36009979248047, -82.0083999633789)",33.36009979248047,-82.0083999633789,OTHER,3339.3605602405096,3352.5623091773277
72.80.233.36,2,"(40.622100830078125, -73.98100280761719)",40.622100830078125,-73.98100280761719,OTHER,3943.377987258564,3954.2207614477043
174.226.135.217,8,"(32.82609939575195, -96.83450317382812)",32.82609939575195,-96.83450317382812,OTHER,1991.5641760042722,2005.5701879145945
58.107.245.243,2,"(-34.879398345947266, 150.60389709472656)",-34.879398345947266,150.60389709472656,OTHER,12171.329501704982,12161.580028233588
174.87.33.29,7,"(33.07870101928711, -83.23760223388672)",33.07870101928711,-83.23760223388672,OTHER,3233.6429818350234,3246.970303729496
