"Account name",Month,Platform,Reach,Impressions,Frequency,Currency,"Amount spent (USD)","Link clicks","Clicks (all)",Purchases,"App installs","CPC (all)","Reporting starts","Reporting ends"
,,,4887984,8595576,1.75851148,USD,64293.37,101679,134868,203,25062,0.4767133,2024-08-28,2024-10-30
Answers2.0,"2024-10-01 - 2024-10-30",audience_network,,161,,USD,1.38993409,3,3,,1,0.46331136,2024-08-28,2024-10-30
Answers2.0,"2024-10-01 - 2024-10-30",facebook,786914,991727,1.26027368,USD,8301.29637716,10957,10964,29,2714,0.75714122,2024-08-28,2024-10-30
Answers2.0,"2024-10-01 - 2024-10-30",instagram,1409994,1632873,1.15807089,USD,11521.38369017,16830,25002,25,3667,0.46081848,2024-08-28,2024-10-30
Answers2.0,"2024-10-01 - 2024-10-30",messenger,,6,,USD,0.02999858,,,,,,2024-08-28,2024-10-30
Answers2.0,"2024-09-01 - 2024-09-30",audience_network,,160,,USD,1.25019035,1,1,,,1.25019035,2024-08-28,2024-10-30
Answers2.0,"2024-09-01 - 2024-09-30",facebook,910498,1434306,1.57529835,USD,12133.02732048,20077,20073,47,5970,0.60444514,2024-08-28,2024-10-30
Answers2.0,"2024-09-01 - 2024-09-30",instagram,2478520,3542619,1.42932839,USD,24908.71248917,42709,62755,90,10491,0.39691997,2024-08-28,2024-10-30
Answers2.0,"2024-08-28 - 2024-08-31",audience_network,,42,,USD,0.56998618,1,1,,,0.56998618,2024-08-28,2024-10-30
Answers2.0,"2024-08-28 - 2024-08-31",facebook,136317,151076,1.10826969,USD,1113.1830184,2379,2376,4,649,0.46851137,2024-08-28,2024-10-30
Answers2.0,"2024-08-28 - 2024-08-31",instagram,687345,842606,1.22588511,USD,6312.52699542,8758,13693,8,1570,0.46100394,2024-08-28,2024-10-30
