"first_of_month","total_customers","active_after_7_days","active_after_30_days","active_after_6_months"
"2023-02-01 00:00:00.000","2","4","2","0"
"2023-03-01 00:00:00.000","2","2","1","0"
"2023-04-01 00:00:00.000","4713","8054","6748","3433"
"2023-05-01 00:00:00.000","10770","12947","10993","4788"
"2023-06-01 00:00:00.000","1703","1963","1712","752"
"2023-07-01 00:00:00.000","1722","1174","1012","339"
"2023-08-01 00:00:00.000","4726","3349","2939","1215"
"2023-09-01 00:00:00.000","27835","12054","10258","3965"
"2023-10-01 00:00:00.000","23179","9134","8031","2883"
"2023-11-01 00:00:00.000","11091","2953","2563","866"
"2023-12-01 00:00:00.000","7231","824","780","216"
"2024-01-01 00:00:00.000","16813","2562","1769","352"
"2024-02-01 00:00:00.000","29634","1788","1365","264"
"2024-03-01 00:00:00.000","47336","3457","2302","272"
"2024-04-01 00:00:00.000","55186","3181","2150","70"
"2024-05-01 00:00:00.000","50066","1321","865","0"
"2024-06-01 00:00:00.000","25430","961","554","0"
"2024-07-01 00:00:00.000","20771","504","243","0"
"2024-08-01 00:00:00.000","142102","2048","859","0"
"2024-09-01 00:00:00.000","209023","1996","344","0"
"2024-10-01 00:00:00.000","74290","294","0","0"
