"subscription_month","new_subscribers","active_after_30_days"
"2023-04-01 00:00:00.000","1314","140"
"2023-05-01 00:00:00.000","2512","207"
"2023-06-01 00:00:00.000","407","33"
"2023-07-01 00:00:00.000","259","11"
"2023-08-01 00:00:00.000","496","56"
"2023-09-01 00:00:00.000","2150","271"
"2023-10-01 00:00:00.000","1937","240"
"2023-11-01 00:00:00.000","769","106"
"2023-12-01 00:00:00.000","364","24"
"2024-01-01 00:00:00.000","969","84"
"2024-02-01 00:00:00.000","615","66"
"2024-03-01 00:00:00.000","1431","222"
"2024-04-01 00:00:00.000","1464","196"
"2024-05-01 00:00:00.000","829","129"
"2024-06-01 00:00:00.000","592","111"
"2024-07-01 00:00:00.000","387","70"
"2024-08-01 00:00:00.000","1459","449"
"2024-09-01 00:00:00.000","2476","957"
"2024-10-01 00:00:00.000","1056","579"
