By Day,Cost,Cost per result,CPC (destination),Impressions,CTR (destination),Clicks (destination),Result rate,Results,Cost per conversion,Cost per conversion (SKAN),Conversion rate (CVR),Conversion rate (SKAN),Conversions,Conversions (SKAN),Video views,Clicks (all),CTR (all),Paid follows,Paid likes,Paid comments,Paid shares,Paid profile visits,Product impressions,Currency
2024-10-30,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,47,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-29,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,86,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-28,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,79,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-27,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,122,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-26,33.73,-,0.75,10319,0.44%,45,-,-,0,0.27,0.00%,1.20%,0,124,10058,70,0.68%,0,18,0,0,5,0,USD
2024-10-25,816.03,-,0.59,302858,0.46%,1391,-,-,0,11.03,0.00%,0.02%,0,74,295239,2270,0.75%,32,392,1,3,301,0,USD
2024-10-24,7.77,-,0.32,4254,0.56%,24,-,-,0,0.1,0.00%,1.79%,0,76,4207,27,0.63%,0,2,0,0,0,0,USD
2024-10-23,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,81,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-22,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,70,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-21,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,57,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-20,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,64,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-19,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,93,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-18,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,123,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-17,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,119,0,0,0.00%,0,0,0,0,0,0,USD
2024-10-16,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,137,0,0,0.00%,0,0,0,0,0,0,USD
