month_start,subscribers_at_start,customers_lost,churn_rate
2023-04,4721,-6049.0,0.0
2023-05,10770,9067.0,-56.165273909006494
2023-06,1703,-19.0,532.413388138579
2023-07,1722,-3112.0,-1.1033681765389085
2023-08,4834,-24060.0,-64.3773272652048
2023-09,28894,5712.0,-83.26988302069634
2023-10,23182,12094.0,24.63980674661375
2023-11,11088,3947.0,109.07287157287158
2023-12,7141,-9662.0,55.27237081641226
2024-01,16803,-3082.0,-57.501636612509664
2024-02,19885,-20657.0,-15.499119939653006
2024-03,40542,-14643.0,-50.952099057767256
2024-04,55185,5258.0,-26.53438434357162
2024-05,49927,24514.0,10.531375808680671
2024-06,25413,4645.0,96.46244048321724
2024-07,20768,-121316.0,22.366140215716488
2024-08,142084,-66932.0,-85.38329438923454
2024-09,209016,156311.0,-32.022428904964215
2024-10,52705,,296.5771748410967
