Date,Cost,Cost per result,CPC (destination),Impressions,CTR (destination),Clicks (destination),Result rate,Results,Cost per conversion,Cost per conversion (SKAN),Conversion rate (CVR),Conversion rate (SKAN),Conversions,Conversions (SKAN),Reach,"Cost per 1,000 people reached",Frequency,Video views,Clicks (all),Paid likes,Paid comments,Paid follows,Paid shares,Currency
2024-10-01,2217.46,-,0.37,723311,0.84%,6066,-,-,0,5.47,0.00%,0.06%,0,405,503165,4.41,1.44,712682,20292,9999,19,111,29,USD
2024-09-30,2500,-,0.49,565588,0.90%,5072,-,-,0,29.76,0.00%,0.01%,0,84,485747,5.15,1.16,556262,18851,10339,13,106,25,USD
2024-09-29,1052.81,-,0.37,291092,0.97%,2828,-,-,0,19.14,0.00%,0.02%,0,55,270742,3.89,1.08,288211,8523,4027,10,52,13,USD
2024-09-28,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,81,0,0,0,0,0,0,0,0,0,USD
2024-09-27,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,82,0,0,0,0,0,0,0,0,0,USD
2024-09-26,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,98,0,0,0,0,0,0,0,0,0,USD
2024-09-25,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,127,0,0,0,0,0,0,0,0,0,USD
2024-09-24,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,138,0,0,0,0,0,0,0,0,0,USD
2024-09-23,0.01,-,0,3,0.00%,0,-,-,0,0,0.00%,3600.00%,0,108,2,5,1.5,3,0,0,0,0,0,USD
2024-09-22,0.02,-,0,8,0.00%,0,-,-,0,0,0.00%,1975.00%,0,158,8,2.5,1,8,1,0,0,1,0,USD
2024-09-21,0.2,-,0,37,0.00%,0,-,-,0,0,0.00%,886.49%,0,328,36,5.56,1.03,36,1,0,0,0,0,USD
2024-09-20,7.96,-,1.33,4141,0.14%,6,-,-,0,0.02,0.00%,9.59%,0,397,4115,1.93,1.01,4084,51,25,0,0,2,USD
2024-09-19,663.19,-,0.34,193322,1.02%,1972,-,-,0,2.86,0.00%,0.12%,0,232,187772,3.53,1.03,191819,8243,5050,7,50,21,USD
2024-09-18,812.5,-,0.32,254297,0.99%,2505,-,-,0,5.45,0.00%,0.06%,0,149,237330,3.42,1.07,252325,9078,5071,9,55,26,USD
2024-09-17,219.35,-,0.34,67981,0.94%,639,-,-,0,1.6,0.00%,0.20%,0,137,67582,3.25,1.01,67527,2165,1153,1,14,8,USD
2024-09-16,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,91,0,0,0,0,0,0,0,0,0,USD
2024-09-15,0,-,0,0,0.00%,0,-,-,0,0,0.00%,0.00%,0,124,0,0,0,0,0,0,0,0,0,USD
2024-09-14,0,-,0,2,0.00%,0,-,-,0,0,0.00%,10700.00%,0,214,2,0,1,2,0,0,0,0,0,USD
2024-09-13,0,-,0,1,0.00%,0,-,-,0,0,0.00%,25400.00%,0,254,1,0,1,1,2,2,0,0,0,USD
2024-09-12,0.01,-,0,7,0.00%,0,-,-,0,0,0.00%,5328.57%,0,373,7,1.43,1,7,1,0,0,1,0,USD
2024-09-11,0.08,-,0,24,0.00%,0,-,-,0,0,0.00%,2120.83%,0,509,24,3.33,1,24,6,3,0,2,1,USD
2024-09-10,75.07,-,0.3,20482,1.24%,254,-,-,0,0.15,0.00%,2.41%,0,494,20281,3.7,1.01,20249,870,449,0,2,6,USD
2024-09-09,639.27,-,0.26,228346,1.09%,2493,-,-,0,1.73,0.00%,0.16%,0,369,219531,2.91,1.04,226191,9547,5717,6,89,56,USD
2024-09-08,650.59,-,0.29,209617,1.07%,2238,-,-,0,1.58,0.00%,0.20%,0,413,197466,3.29,1.06,207479,8602,4994,8,74,22,USD
2024-09-07,648.95,-,0.3,228732,0.95%,2167,-,-,0,1.14,0.00%,0.25%,0,568,213223,3.04,1.07,226689,10140,6606,1,73,38,USD
2024-09-06,649.69,-,0.33,182327,1.07%,1942,-,-,0,1.02,0.00%,0.35%,0,637,174492,3.72,1.04,180075,7707,4598,4,86,24,USD
2024-09-05,649.97,-,0.28,191812,1.23%,2353,-,-,0,0.78,0.00%,0.43%,0,833,186601,3.48,1.03,189963,9848,6201,5,106,27,USD
2024-09-04,651.08,-,0.26,191801,1.32%,2531,-,-,0,0.74,0.00%,0.46%,0,879,187022,3.48,1.03,190314,10369,6606,5,58,31,USD
2024-09-03,1433.9,-,0.38,338668,1.10%,3735,-,-,0,2.49,0.00%,0.17%,0,575,307907,4.66,1.1,331152,12199,5696,11,93,32,USD
2024-09-02,1645.78,-,0.29,549411,1.03%,5633,-,-,0,3.33,0.00%,0.09%,0,494,475323,3.46,1.16,540486,20871,11495,5,113,45,USD
2024-09-01,1200.79,-,0.32,379249,0.99%,3762,-,-,0,2.49,0.00%,0.13%,0,482,326864,3.67,1.16,371671,13246,6822,8,78,26,USD
2024-08-31,1295.62,-,0.33,383457,1.03%,3950,-,-,0,2.6,0.00%,0.13%,0,498,327221,3.96,1.17,376382,14641,8034,8,77,17,USD
2024-08-30,1104.38,-,0.29,365738,1.02%,3748,-,-,0,4.91,0.00%,0.06%,0,225,307401,3.59,1.19,360982,13769,7633,10,77,26,USD
2024-08-29,1239.91,-,0.29,254780,1.68%,4289,-,-,0,49.6,0.00%,0.01%,0,25,220883,5.61,1.15,249861,14376,7827,6,109,38,USD
2024-08-28,316.25,-,0.45,88537,0.80%,707,-,-,0,0,0.00%,0.00%,0,0,79754,3.97,1.11,87053,1578,158,0,11,2,USD
