"month","cumulative_subscribers","monthly_cancellations"
"2023-04-01 00:00:00.000","1314","666"
"2023-05-01 00:00:00.000","3826","1115"
"2023-06-01 00:00:00.000","4233","711"
"2023-07-01 00:00:00.000","4492","540"
"2023-08-01 00:00:00.000","4988","382"
"2023-09-01 00:00:00.000","7138","1076"
"2023-10-01 00:00:00.000","9075","1392"
"2023-11-01 00:00:00.000","9844","801"
"2023-12-01 00:00:00.000","10208","818"
"2024-01-01 00:00:00.000","11177","1011"
"2024-02-01 00:00:00.000","11792","557"
"2024-03-01 00:00:00.000","13223","1046"
"2024-04-01 00:00:00.000","14687","1226"
"2024-05-01 00:00:00.000","15516","1120"
"2024-06-01 00:00:00.000","16108","873"
"2024-07-01 00:00:00.000","16495","659"
"2024-08-01 00:00:00.000","17954","1134"
"2024-09-01 00:00:00.000","20430","1790"
