"customer_id","subscription_created","canceled_at","first_payment_time","time_to_first_payment_hours","time_to_first_payment_minutes_remainder"
"cus_Nj8MnhPVuUhkdI","2023-04-17 00:39:22.000","2023-04-17 00:42:48.000","2023-04-17 00:39:23.000","0","0"
"cus_Nj90seJjjXf5hu","2023-04-17 01:19:35.000","2023-04-17 01:24:42.000","2023-04-17 01:19:35.000","0","0"
"cus_NjAGMy9zW7suhL","2023-04-17 02:37:56.000","2023-04-17 02:39:17.000","2023-04-17 02:37:57.000","0","0"
"cus_NjDEJZYdkEq7Mb","2023-04-17 05:41:51.000","2023-04-17 06:07:02.000","2023-04-17 05:41:52.000","0","0"
"cus_NjW6iY8oOu9Kwv","2023-04-18 01:13:04.000","2023-04-18 01:36:54.000","2023-04-18 01:13:05.000","0","0"
"cus_NjlCvbWo6dkJcK","2023-04-18 16:50:48.000","2023-04-18 16:54:26.000","2023-04-18 16:50:49.000","0","0"
"cus_NjtuIpyjKoaiJA","2023-04-19 01:49:12.000","2023-04-19 01:56:15.000","2023-04-19 01:49:13.000","0","0"
"cus_Nk6ndNKPp2S51O","2023-04-19 15:07:13.000","2023-04-19 15:07:35.000","2023-04-19 15:07:14.000","0","0"
"cus_NkWhcIGeX5uh6C","2023-04-20 17:53:31.000","2023-04-20 18:11:24.000","2023-04-20 17:53:32.000","0","0"
"cus_NlHyKGNI4p4MMN","2023-04-22 18:43:01.000","2023-04-22 19:42:53.000","2023-04-22 18:43:02.000","0","0"
"cus_NlHyKGNI4p4MMN","2023-05-01 03:48:50.000","2023-05-01 18:58:23.000","2023-04-22 18:43:02.000","-201","-5"
"cus_NlHyKGNI4p4MMN","2023-05-01 03:49:56.000","2023-05-01 19:00:01.000","2023-04-22 18:43:02.000","-201","-6"
"cus_NlHyKGNI4p4MMN","2023-05-01 03:53:10.000","2023-05-01 19:01:20.000","2023-04-22 18:43:02.000","-201","-10"
"cus_NlHyKGNI4p4MMN","2023-05-01 03:57:03.000","2023-05-01 18:57:48.000","2023-04-22 18:43:02.000","-201","-14"
"cus_NrhWJ4Yo7g2kuP","2023-05-09 21:40:56.000","2023-05-10 20:41:02.000","2023-05-09 21:41:38.000","0","0"
"cus_NuJOdqcsUHf5Zo","2023-05-18 17:43:05.000","2023-05-19 16:44:48.000","2023-05-19 05:12:41.000","11","29"
"cus_O01GpPjhKz2Sdj","2023-06-01 07:34:39.000","2023-06-02 06:35:07.000","2023-06-01 08:07:33.000","0","32"
"cus_O01GpPjhKz2Sdj","2023-06-01 07:56:28.000","2023-06-02 06:56:45.000","2023-06-01 08:07:33.000","0","11"
"cus_O4KHbC0s14gYOL","2023-06-12 16:00:22.000","2023-06-12 21:18:50.000","2023-06-12 16:00:23.000","0","0"
"cus_OaabTpwPsQ3A1B","2023-09-06 17:33:34.000","2023-09-07 16:35:30.000","2023-09-06 17:34:03.000","0","0"
"cus_OcrJi0q57emIGM","2023-09-12 18:50:14.000","2023-09-13 17:57:25.000","2023-09-12 18:50:50.000","0","0"
"cus_OnL2v6ROn0tman","2023-10-10 18:09:51.000","2023-10-11 17:28:04.000","2023-10-10 18:13:09.000","0","3"
"cus_P6zcyv1VzLAkZx","2023-12-02 05:22:05.000","2023-12-02 05:34:44.000","2023-12-02 05:22:06.000","0","0"
"cus_P8DznHJieYRw0W","2023-12-05 12:22:52.000","2023-12-06 11:25:55.000","2023-12-05 12:23:44.000","0","0"
"cus_P8DznHJieYRw0W","2023-12-05 12:23:08.000","2023-12-06 11:26:36.000","2023-12-05 12:23:44.000","0","0"
