"customer_id","subscription_created","canceled_at","first_payment_time","time_to_first_payment_hours","time_to_first_payment_minutes","time_to_first_payment_seconds_remainder"
"cus_Nj6ydO3j4KwqXf","2023-04-16 23:13:22.000","2023-04-16 23:15:54.000","2023-04-16 23:13:23.000","0","0","1"
"cus_NjEolVzsnJD1lE","2023-04-17 07:20:40.000","2023-04-17 07:32:40.000","2023-04-17 07:20:41.000","0","0","1"
"cus_NjRZBsFsmEzFsC","2023-04-17 20:30:40.000","2023-04-17 20:32:21.000","2023-04-17 20:30:41.000","0","0","1"
"cus_NjuEcrcor9UmDj","2023-04-19 02:09:22.000","2023-04-19 02:23:02.000","2023-04-19 02:09:23.000","0","0","1"
"cus_NkQoxvndfEEaTH","2023-04-21 09:44:22.000","2023-04-21 10:35:23.000","2023-04-21 09:44:23.000","0","0","1"
"cus_Nlk9ewea8UpSKc","2023-04-23 23:52:26.000","2023-04-23 23:58:28.000","2023-04-23 23:52:27.000","0","0","1"
"cus_P7duPPeL969FoJ","2023-12-03 22:59:13.000","2023-12-03 23:04:41.000","2023-12-03 22:59:14.000","0","0","1"
"cus_PSuNaVo7aSiFxl","2024-02-02 17:33:16.000","2024-02-02 17:48:19.000","2024-02-02 17:33:17.000","0","0","1"
"cus_PXSLpE3ZmQitGn","2024-02-10 20:46:30.000","2024-02-10 21:00:08.000","2024-02-10 20:46:31.000","0","0","1"
"cus_PjV9NcLv1XPJNq","2024-03-14 00:38:30.000","2024-03-14 00:42:10.000","2024-03-14 00:38:31.000","0","0","1"
"cus_PrEZF83S6WK9AS","2024-04-03 15:53:27.000","2024-04-03 16:00:47.000","2024-04-03 15:53:28.000","0","0","1"
"cus_PsnsyoWaOe2cPO","2024-04-07 20:26:47.000","2024-04-07 20:36:30.000","2024-04-07 20:26:48.000","0","0","1"
"cus_PuPjeJk0t216sy","2024-04-12 03:38:14.000","2024-04-12 04:33:51.000","2024-04-12 03:38:15.000","0","0","1"
"cus_PuWcwfal2CF1WJ","2024-04-12 10:44:03.000","2024-04-12 10:45:06.000","2024-04-12 10:44:04.000","0","0","1"
"cus_PvRfGR45DiOLke","2024-04-14 21:42:19.000","2024-04-14 21:47:04.000","2024-04-14 21:42:20.000","0","0","1"
"cus_Q0CXyXqRBRdnKJ","2024-04-27 14:27:14.000","2024-04-27 14:29:38.000","2024-04-27 14:27:15.000","0","0","1"
