customer_id,Subscription_Start,Cancellation_Date,loginType,platform
cus_NfLSSIm6qm4INs,2023-04-06 21:57:16,Active,2,mobile
cus_NfayqES4n14hQa,2023-04-07 13:58:49,2023-04-07 13:58:46,2,mobile
cus_NfyOjEavs2Wz9j,2023-04-08 14:14:13,Active,2,mobile
cus_NfyYUiSVyg0HBc,2023-04-08 14:19:32,Active,2,mobile
cus_NgjMrUasfRjpSM,2023-04-10 14:42:11,2024-01-25 15:45:20,2,mobile
cus_NgpZaAikLpEeT8,2023-04-10 21:27:02,2023-04-10 21:27:00,2,mobile
cus_NguRxXFiOeTgVI,2023-04-11 02:08:57,Active,1,web
cus_NhAxAXOGzicbMe,2023-04-11 19:13:26,2023-04-11 19:13:21,2,mobile
cus_NhEOSXbkEz9C8x,2023-04-11 22:45:03,2023-04-11 22:45:00,2,mobile
cus_NhHkYBlyFMc7G8,2023-04-12 02:15:42,2023-04-12 02:15:40,0,extension
cus_NhaUIlMjLriwfM,2023-04-12 21:35:32,2023-04-12 21:36:02,2,mobile
cus_Nhe3B301R7pwlJ,2023-04-13 01:16:39,2023-07-28 02:38:24,2,mobile
cus_NhlJI7MiM6muhJ,2023-04-13 08:45:53,2023-11-28 09:48:49,2,mobile
cus_NheULwhcDNih69,2023-04-13 14:06:17,Active,2,mobile
cus_NhtY59Fj78uc7V,2023-04-13 17:21:39,2023-04-13 17:35:49,2,mobile
cus_NhtnrgtVGfHb2f,2023-04-13 17:32:36,2023-04-13 17:42:38,0,extension
cus_Ni4GzIsAsVBsOw,2023-04-14 04:23:03,Active,2,mobile
cus_Ni6eI1a88tklb0,2023-04-14 06:50:39,2023-05-29 07:55:55,1,web
cus_NiCbRV9Sa9gqEO,2023-04-14 12:59:43,Active,2,mobile
cus_NiCmkXa0R9uWpd,2023-04-14 13:10:56,Active,2,mobile
cus_NiEU5oHSkyLP2k,2023-04-14 14:55:19,2023-05-21 07:29:58,2,mobile
cus_NiOihboIJ2mSEa,2023-04-15 01:32:37,Active,2,mobile
cus_Nin64WRSF1qUK4,2023-04-16 02:42:15,Active,2,mobile
cus_Nj2jrl3mt79YpA,2023-04-16 18:55:22,2023-04-16 19:03:18,2,mobile
cus_Nj5qCLmk4fjApV,2023-04-16 22:07:17,2023-04-17 02:44:45,2,mobile
cus_Nj60EJOTReQT6p,2023-04-16 22:13:42,2023-12-01 23:23:23,1,web
cus_Nj6Hzcae4d2p5C,2023-04-16 22:31:34,2023-07-31 23:43:02,2,mobile
cus_Nj6La307JKP1mS,2023-04-16 22:38:43,2023-04-17 02:00:38,2,mobile
cus_Nj6V13xjYAzy4p,2023-04-16 22:45:37,2023-10-01 23:53:55,2,mobile
cus_Nj6fPe5lxltspA,2023-04-16 22:54:36,2023-10-02 00:11:48,2,mobile
cus_Nj6ydO3j4KwqXf,2023-04-16 23:13:25,2023-04-16 23:15:54,2,mobile
cus_Nj739vBnRd0RCk,2023-04-16 23:21:07,2023-04-17 00:15:37,0,extension
cus_Nj7HAd6OMmabM4,2023-04-16 23:33:01,2023-04-16 23:37:01,0,extension
cus_Nj7KsvxEu3JSzQ,2023-04-16 23:35:45,2023-09-09 21:01:28,2,mobile
cus_Nj7NACCjrgcWNl,2023-04-16 23:38:19,2023-06-01 00:45:51,2,mobile
cus_Nj7PGDuk3QUDvu,2023-04-16 23:40:16,2023-04-17 16:55:00,0,extension
cus_Nj7aAaJb4XpRrt,2023-04-16 23:51:39,2023-12-02 00:59:22,2,mobile
cus_Nj7cwt22GhaY5P,2023-04-16 23:52:50,2023-10-02 01:00:21,2,mobile
cus_Nj7cG614AA2sBU,2023-04-16 23:53:45,2024-06-11 06:15:48,0,extension
cus_Nj7IGJqCxsxrHq,2023-04-16 23:54:14,Active,2,mobile
cus_Nj7YghcQDf1cS2,2023-04-16 23:55:19,Active,2,mobile
cus_Nj7lnHlluPb19v,2023-04-17 00:04:04,2023-04-17 00:11:28,0,extension
cus_Nj82Nnmu4R1JIf,2023-04-17 00:19:35,2023-04-17 00:21:13,2,mobile
cus_Nj83u7FLXVvO15,2023-04-17 00:22:06,2023-04-17 00:42:06,2,mobile
cus_Nj88cIgXjo2CIG,2023-04-17 00:25:15,Active,1,web
cus_Nj8L8RNGXjkQ4w,2023-04-17 00:38:27,2023-04-17 00:49:37,2,mobile
cus_Nj8MnhPVuUhkdI,2023-04-17 00:39:25,2023-04-17 00:42:48,0,extension
cus_Nj8PoAN4Daj2rb,2023-04-17 00:43:43,2023-04-17 00:44:33,2,mobile
cus_Nj8NXrnbcMLFjG,2023-04-17 00:44:54,2024-07-26 18:47:47,2,mobile
cus_Nj8XrqE30dzqIY,2023-04-17 00:50:17,2023-04-17 01:18:51,2,mobile
cus_Nj8XVCpTy7NqvW,2023-04-17 00:50:26,2023-04-17 00:57:50,2,mobile
cus_Nj8MtkfdV31pZv,2023-04-17 00:53:09,2023-04-17 00:59:18,2,mobile
cus_Nj8aw9z2bDlP77,2023-04-17 00:53:22,2023-06-12 03:50:13,2,mobile
cus_Nj8b3atMvk2CU6,2023-04-17 00:55:18,2023-08-01 02:06:22,2,mobile
cus_Nj8UxRQpZ9gJ63,2023-04-17 00:56:03,2023-04-17 01:06:31,0,extension
cus_Nj8fSNZ9dVui4K,2023-04-17 00:58:32,2023-04-17 01:26:13,2,mobile
cus_Nj8gbpyjNOjvQI,2023-04-17 00:59:05,2023-11-12 22:29:51,2,mobile
cus_Nj8HV2I1DCrYoc,2023-04-17 01:00:08,2023-06-01 02:07:03,2,mobile
cus_Nj8fh5UxQevIEN,2023-04-17 01:00:59,2023-04-17 01:09:29,2,mobile
cus_Nj8l3uj3KdY9g7,2023-04-17 01:04:41,2023-04-17 01:14:16,2,mobile
cus_Nj8myaifGWS0r7,2023-04-17 01:05:23,2023-04-24 06:17:27,2,mobile
cus_Nj8m4igSuqWKUg,2023-04-17 01:06:57,2023-04-17 01:07:35,2,mobile
cus_Nj8sp8aQCLLDPd,2023-04-17 01:12:15,2023-06-01 02:19:08,2,mobile
cus_Nj8tBPkJFhaEec,2023-04-17 01:12:23,Active,2,mobile
cus_Nj8uHAN8lDEMoT,2023-04-17 01:15:06,2023-08-01 02:37:29,2,mobile
cus_Nj8yky8N0Vreji,2023-04-17 01:17:34,2023-04-17 01:29:35,2,mobile
cus_Nj90seJjjXf5hu,2023-04-17 01:19:37,2023-04-17 01:24:42,1,web
cus_Nj90T2aqXzrBnH,2023-04-17 01:20:02,2023-05-21 06:28:04,2,mobile
cus_Nj94FNf8wbZhpc,2023-04-17 01:24:21,2023-04-17 01:26:52,2,mobile
cus_Nj944IcYy1FyeV,2023-04-17 01:24:31,2023-04-17 01:42:03,0,extension
cus_Nj9I1hktQam9Xb,2023-04-17 01:38:54,2023-04-17 01:39:43,2,mobile
cus_Nj9LRNXXSdaqB8,2023-04-17 01:40:32,2023-05-25 07:20:37,2,mobile
cus_Nj9LxEoEZDrFVV,2023-04-17 01:40:53,Active,2,mobile
cus_Nj9NvChvyiS05j,2023-04-17 01:44:47,2023-04-17 01:49:13,2,mobile
cus_Nj9P71DOjMoQPe,2023-04-17 01:44:53,2023-07-02 03:00:54,2,mobile
cus_Nj9QGwWISKy3a8,2023-04-17 01:45:48,2023-04-17 02:05:36,2,mobile
cus_Nj8npL0uXQjtqC,2023-04-17 01:46:32,2023-04-17 01:51:30,2,mobile
cus_Nj5Qlm2tVggjY8,2023-04-17 01:50:54,2023-04-17 02:00:31,2,mobile
cus_Nj9V8LyArvWcFE,2023-04-17 01:51:01,Active,2,mobile
cus_Nj9WwxLf2v8uFJ,2023-04-17 01:52:11,Active,2,mobile
cus_Nj9VYLQbkzEVNS,2023-04-17 01:52:21,2023-04-30 02:15:05,2,mobile
cus_Nj9ZmAC2rm3hlp,2023-04-17 01:54:58,2023-04-17 02:05:38,1,web
cus_Nj9R0T02s3x3mL,2023-04-17 01:56:56,2024-01-29 02:47:38,2,mobile
cus_Nj9beWRbA9oJqq,2023-04-17 01:58:31,2023-04-27 03:12:33,2,mobile
cus_Nj9fwIffaLvSRx,2023-04-17 02:01:13,2023-04-17 02:22:04,2,mobile
cus_Nj9dPSpx8msfTw,2023-04-17 02:01:46,2023-06-01 20:32:57,2,mobile
cus_Nj9i6HG77cLeHY,2023-04-17 02:04:22,2023-04-17 02:30:46,2,mobile
cus_Nj9kSaesm6sAo9,2023-04-17 02:05:09,2023-04-17 02:10:45,1,web
cus_Nj9k00WCHWxkqD,2023-04-17 02:07:09,2023-04-17 03:33:13,0,extension
cus_Nj9hfmWj5aO2AT,2023-04-17 02:08:31,2023-09-01 04:44:16,2,mobile
cus_Nj9qfeMpTpTPSV,2023-04-17 02:11:23,2024-09-29 05:28:36,1,web
cus_Nj9udS3vQhW0Cw,2023-04-17 02:15:38,2023-11-01 03:28:14,2,mobile
cus_Nj9GRyr7QMArbV,2023-04-17 02:15:45,2023-04-17 04:22:21,2,mobile
