"month","new_customers_count","active_after_7_days_count"
"2023-02-01","2","0"
"2023-03-01","2","0"
"2023-04-01","4713","140"
"2023-05-01","10770","188"
"2023-06-01","1703","32"
"2023-07-01","1722","10"
"2023-08-01","4726","54"
"2023-09-01","27835","250"
"2023-10-01","23179","211"
"2023-11-01","11091","82"
"2023-12-01","7231","16"
"2024-01-01","16813","58"
"2024-02-01","29634","50"
"2024-03-01","47336","211"
"2024-04-01","55186","195"
"2024-05-01","50066","113"
"2024-06-01","25430","119"
"2024-07-01","20771","71"
"2024-08-01","142102","396"
"2024-09-01","209023","1240"
"2024-10-01","74290","640"
